title,overview,poster_path,vote_average,genre_ids
War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",/yvirUYrva23IudARHn3mMGVxWqM.jpg,4.103,"[878, 53]"
7 Dogs,Interpol agent Khalid Al-Azzazi joins forces with Ghali Abu Dawood from the 7 Dogs crime syndicate to fight drug trafficking.,/66n5bB6iYTWsWMz0mh3Qv7qmzIJ.jpg,0.0,"[28, 35]"
Scream 7,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all.",/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,6.125,"[27, 9648, 80]"
Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,/fAERrD6vvmznDoL99wlgjhSfPcH.jpg,5.9,"[18, 53]"
The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,8.032,"[878, 28, 12]"
Zero Woman 2,"When a valuable suitcase is stolen, the mob, petty criminals, and a beautiful agent from the Elite Zero division are pulled into a battle to settle the score.",/sQHeDjwmBQba8E51Mkp5dvgkzeZ.jpg,5.0,"[28, 53]"
They Will Kill You,"A woman answers a help wanted ad to be a housekeeper in a mysterious New York City high-rise, unaware that she is entering a community that has seen a number of disappearances over the years and may be under the grip of a Satanic cult.",/6oI4oQKTWMVUlr8Ivqydp28Ruu6.jpg,6.956,"[28, 35, 27]"
Vengeance,"The brutal murder of the wife of “Toro,” a military hero in the special forces, turns him into a man with a single purpose: revenge. After a stroke of fate makes him a millionaire, Carlos transforms his fortune into an arsenal and, together with his closest soldiers, sets out to hunt down those responsible.",/ygWXPL0RS91JyJPNOfK34eV3bRE.jpg,7.433,"[28, 53]"
Lola's Secret,Young man has his dreams come true when the sexy new maid seduces him. But she also has a secret that leads to trouble.,/qaJ4iQngrLbyz9OgaQkJLppDN6m.jpg,7.0,"[18, 35, 27]"
Apocalypto,"Set in the Mayan civilization, when a man's idyllic presence is brutally disrupted by a violent invading force, he is taken on a perilous journey to a world ruled by fear and oppression where a harrowing end awaits him. Through a twist of fate and spurred by the power of his love for his woman and his family he will make a desperate break to return home and to ultimately save his way of life.",/cRY25Q32kDNPFDkFkxAs6bgCq3L.jpg,7.626,"[28, 18, 36]"
